id|first_name|last_name|nickname|dob|nationality|height|weight|role
1884|Marek|Rodák||1996-12-13|Slovakia|194|81|goalkeeper
1885|Nicolai|Rapp||1996-12-13|Germany|186|81|defender
1886|Harvey|Barnes||1997-12-09|England|174|66|midfielder
1887|Michael|Parensen||1986-06-24|Germany|180|79|Wing Back
1888|Castello|Lukeba||2002-12-17|France|||
1889|Edoardo|Corvi||2001-03-23|Italy|||goalkeeper
1890|Boubacar|Traore||2001-08-20|Mali|183|67|midfielder
1891|Çaglar|Söyüncü||1996-05-23|Turkey|185|82|defender
1892|David|Okereke||1997-08-29|Nigeria|182|75|striker
1893|Jose Ignacio|Fernandez Iglesias|Nacho|1990-01-18|Spain|180|76|defender
1894|Jordan|N&#39;Kololo||1992-11-09|Congo DR|183|78|
1895|Romain|Thomas||1988-06-12|France|193|84|defender
1896|Tiago Filipe|Oliveira Dantas|Tiago Dantas|2000-12-24|Portugal|170|58|
1897|Christian|Fuchs||1986-04-07|Austria|187|89|defender
1898|Darren|Randolph||1987-05-12|Republic of Ireland|188|98|goalkeeper
1899|Alexis|Sánchez||1988-12-19|Chile|169|62|striker
1900|Mattia|Valoti||1993-09-06|Italy|187|62|midfielder
1901|Vasco|Regini||1990-09-09|Italy|185|79|defender
1902|Albert-Nicolas|Lottin||2001-08-29|France|181||Defensive Midfielder
1903|Phil|Jones||1992-02-21|England|180|71|defender
1904|Nura|Abdullahi||1997-07-17|Nigeria|182||defender
1905|Gary|Medel||1987-08-03|Chile|171|65|midfielder
1906|Gylfi|Sigurdsson||1989-09-08|Iceland|186|79|midfielder
1907|Juan José|Camacho Barnola|Camacho|1980-08-02|Spain|180|75|midfielder
1908|Ben|Godfrey||1998-01-15|England|183|74|defender
1909|Kacper|Urbanski||2004-09-07|Poland|||midfielder
1910|Karl|Hein||2002-04-13|Estonia|193||goalkeeper
1911|Matteo|Tramoni||2000-01-20|France|175|72|
1912|Levin|Öztunali||1996-03-15|Germany|184|80|midfielder
1913|Gennaro|Tutino||1996-08-20|Italy|177|69|midfielder
1914|Lloyd|Kelly||1998-10-06|England|178|70|defender
1915|Siriki|Sanogo||2001-12-13|Côte d&#39;Ivoire|||midfielder
1916|Luca|Siligardi||1988-01-26|Italy|180|72|striker
1917|Christian|Celesia||2002-01-22|Italy|183||defender
1918|Paul|Nebel||2002-10-10|Germany|169|66|midfielder
1919|Luis|Abram||1996-02-27|Peru|181|76|defender
1920|Cody|Drameh||2001-12-08|England|||defender
1921|Ashley|Young||1985-07-09|England|175|65|Wing Back
1922|Matías|Aguirregaray||1989-04-01|Uruguay|174|78|defender
1923|Diego|Demme||1991-11-21|Germany|172|71|Defensive Midfielder
1924|Kyle|John||2001-02-13|England|||defender
1925|Haydon|Roberts||2002-05-10|England|||defender
1926|Alexis|Tibidi||2003-11-03|France|||striker
1927|Antonio|Pacheco||2002-01-03|Spain|||
1928|Rubén|Sánchez||2001-01-09|Spain|||defender
1929|Stefan|Drljaca||1999-04-20|Germany|192|92|goalkeeper
1930|David|Simón||1988-12-16|Spain|179|76|
1931|Jamie|Lawrence||2002-11-10|Germany|200|84|
1932|Oliver|Casey||2000-10-14|England|188||defender
1933|Francisco|Casilla Cortés|Kiko Casilla|1986-10-02|Spain|190|86|goalkeeper
1934|Erwin|Mulder||1989-03-03|Netherlands|193|88|goalkeeper
1935|Gaetano|Letizia||1990-06-29|Italy|173|63|defender
1936|Milan|Gajic||1996-01-28|Serbia|178|75|
1937|Patric|Klandt||1983-09-29|Germany|184|83|goalkeeper
1938|Grzegorz|Krychowiak||1990-01-29|Poland|186|83|Defensive Midfielder
1939|Milos|Pantovic||1996-07-07|Serbia|185|67|striker
1940|Ousmane|Dembélé||1997-05-15|France|178|67|midfielder
1941|Arnaud|Souquet||1992-02-12|France|179|74|defender
1942|Maxim|Leitsch||1998-05-18|Germany|188|75|defender
1943|Daniel|Raba Antolín|Dani Raba|1995-10-29|Spain|184|76|midfielder
1944|Gabriele|Artistico||2002-07-14|Italy|||striker
1945|Abdoulaye|Sylla|Abdoulaye Sylla|2000-04-10|Guinea|191||defender
1946|Sebastian|Walukiewicz||2000-04-05|Poland|188||
1947|Santiago|Arzamendia||1998-05-05|Paraguay|173|74|defender
1948|Willian José|Da Silva|Willian José|1991-11-23|Brazil|189|93|
1949|Alisson Ramses|Becker|Alisson|1992-10-02|Brazil|191|91|goalkeeper
1950|Jarrod|Bowen||1996-12-20|England|175|70|
1951|Franco|Zuculini||1990-09-05|Argentina|176|70|midfielder
1952|David|Button||1989-02-27|England|191|87|goalkeeper
1953|Nathan|Collins||2001-04-30|Republic of Ireland|193||defender
1954|Brad|Smith|Brad Smith|1994-04-09|Australia|178|70|defender
1955|Julen|Bernaola|Julen Bernaola|1999-04-29|Spain|187||Defensive Midfielder
1956|Bright|Gyamfi||1996-01-20|Ghana|178|73|
1957|Alexandre|Moreno Lopera|Álex Moreno|1993-06-08|Spain|179|68|Wing Back
1958|Carlos|Marín||1997-02-20|Spain|187|79|goalkeeper
1959|Charlie|Adam||1985-12-10|Scotland|185|83|midfielder
1960|Aleksandar|Katai||1991-02-06|Serbia|182|70|
1961|Manuel|Prietl||1991-08-03|Austria|187|79|Defensive Midfielder
1962|Matty|Daly|Matty Daly|2001-03-10|England|||midfielder
1963|Ahmed Eissa|El Mohamady Abdel Fattah|Ahmed El Mohamady|1987-09-09|Egypt|183|75|Wing Back
1964|Iván|Amores||1997-05-27|Spain|170|55|
1965|Jaume|Costa||1988-03-18|Spain|171|62|defender
1966|Pietro|Terracciano||1990-03-08|Italy|193|85|goalkeeper
1967|Toma|Basic||1996-11-25|Croatia|189|80|Defensive Midfielder
1968|Antonio|Vergara||2003-01-16|Italy|187||
1969|Ander|Barrenetxea||2001-12-27|Spain|178|75|striker
1970|Christian|Pulisic||1998-09-18|USA|172|69|midfielder
1971|Tomasz|Kucz||1999-07-06|Poland|184|83|goalkeeper
1972|Nicola|Dalmonte||1997-09-13|Italy|169|74|striker
1973|Cristian|Tello||1991-08-11|Spain|178|65|midfielder
1974|Jimmy|Cabot||1994-04-18|France|164|65|
1975|Conor|Gallagher||2000-02-06|England|182||defender
1976|Anthony|Knockaert||1991-11-20|France|172|69|midfielder
1977|Jamal|Baptiste||2003-11-11|England|||
1978|Arthur|Theate||2000-05-25|Belgium|||defender
1979|Enrique Jesús|Salas Valiente|Kike Salas|2002-04-23|Spain|||defender
1980|Ander|Martín||2000-11-16|Spain|||midfielder
1981|Karim|Guédé||1985-01-07|Slovakia|183|89|striker
1982|Pierrick|Capelle||1987-04-15|France|181|73|midfielder
1983|Frank|Onyeka||1998-01-01|Nigeria|183||midfielder
1984|Juan Carlos|Pérez|Juankar|1990-03-30|Spain|179|70|
1985|Mathías|Olivera||1997-10-31|Uruguay|184|78|
1986|Rayhaan|Tulloch||2001-01-20|England|178|60|midfielder
1987|Florentin|Bloch||2000-02-02|France|191|87|goalkeeper
1988|Issouf|Sissokho||2002-01-30|Mali|||midfielder
1989|Lévi|Ntumba||2001-01-12|France|194|82|goalkeeper
1990|Jake|Vokins||2000-03-17|England|180||defender
1991|Christoph|Janker||1985-02-14|Germany|185|78|defender
1992|Luca|Antei||1992-04-19|Italy|188|77|defender
1993|Luka|Jovic||1997-12-23|Serbia|182|85|midfielder
1994|Saido|Berahino||1993-08-04|Burundi|180|82|
1995|Alejandro|Cantero||2000-06-08|Spain|||midfielder
1996|Sidy|Sarr|Sidy Sarr|1996-06-05|Senegal|196|86|midfielder
1997|Anthony|Musaba||2000-12-06|Netherlands|182|72|midfielder
1998|Leonardo|Pezzola||2002-03-17|Italy|188||defender
1999|Jonathan|de Guzmán||1987-09-13|Netherlands|173|70|midfielder
2000|Jovane Eduardo|Borges Cabral|Jovane Cabral|1998-06-14|Cabo Verde|174|81|midfielder
2001|Mattia|De Sciglio||1992-10-20|Italy|182|78|defender
2002|Marco|Ballarini||2001-03-28|Italy|||midfielder
2003|Timo|Baumgartl||1996-03-04|Germany|190|89|defender
2004|Eden|Massouema||1997-06-29|Congo|185|78|Defensive Midfielder
2005|Emile|Smith Rowe||2000-07-28|England|182|79|midfielder
2006|Mak|Varesanovic||1998-08-28|Bosnia and Herzegovina|184|79|
2007|Mahmoud Ahmed Ibrahim|Hassan|Trézéguet|1994-10-01|Egypt|180|71|midfielder
2008|Jonathan|Ligali||1991-05-28|France|184|86|goalkeeper
2009|Gaetano|Castrovilli||1997-02-17|Italy|176|71|midfielder
2010|Milos|Veljkovic||1995-09-26|Serbia|188|85|defender
2011|Nahitan|Nández||1995-12-28|Uruguay|172|70|midfielder
2012|Giuseppe|Marciano||2000-05-27|Italy|190|76|
2013|Franck|Evina||2000-07-05|Cameroon|180|77|midfielder
2014|Tommy|Smith||1992-04-14|England|186|75|defender
2015|Óscar|Castro||2001-06-20|Spain|177|73|midfielder
2016|Ryad|Boudebouz||1990-02-19|Algeria|177|74|midfielder
2017|Guido|Burgstaller||1989-04-29|Austria|187|80|
2018|Federico|Ricca||1994-12-01|Uruguay|179|72|defender
2019|Sergio|Rico||1993-09-01|Spain|195|90|goalkeeper
2020|Davide|Astori||1987-01-07|Italy|188|80|defender
2021|Gerson|Santos da Silva|Gerson|1997-05-20|Brazil|175|66|midfielder
2022|Geovanni|Barba||2001-05-17|Spain|||defender
2023|Alexandre|Mendy||1994-03-20|France|185|94|striker
2024|Manuel|Lombardoni||1998-12-19|Italy|||defender
2025|Oliver|Skipp||2000-09-16|England|175|70|midfielder
2026|Karol|Linetty||1995-02-02|Poland|176|73|midfielder
2027|Artur|Ionita||1990-08-17|Moldova|186|75|midfielder
2028|Riccardo|Doratiotto||1999-06-07|Italy|178||midfielder
2029|Arnau|Tenas||2001-05-30|Spain|185|85|
2030|Shaquell|Moore||1996-11-02|USA|180|74|defender
2031|Vito|Radicchio||2002-11-06|Italy|||defender
2032|Lukas|Zima||1994-01-09|Czech Republic|196|82|goalkeeper
2033|Dayot|Upamecano||1998-10-27|France|186|90|defender
2034|Olivier|Ntcham||1996-02-09|Cameroon|180|80|
2035|Samed|Onur||2002-07-15|Turkey|175|67|midfielder
2036|David|García||1982-02-25|Spain|183|80|Difensore Centrale
2037|Martín|Merquelanz||1995-06-12|Spain|176|72|midfielder
2038|Ismael|Traoré||1986-08-18|Côte d&#39;Ivoire|184|87|defender
2039|Marcel|Büchel|Marcel Büchel|1991-03-18|Liechtenstein|175|71|midfielder
2040|Almamy|Touré|Almamy Touré|1996-04-28|Mali|183|81|defender
2041|Daniel|Congré||1985-04-05|France|185|80|defender
2042|Dennis|Man||1998-08-26|Romania|183|82|striker
2043|Ivan|Toney||1996-03-16|England|179|70|striker
2044|Heung-Min|Son|Son Heung-Min|1992-07-08|Korea Republic|183|78|striker
2045|Giacomo|Raspadori||2000-02-18|Italy|172|69|striker
2046|Törles|Knöll||1997-09-13|Germany|184|80|
2047|Lewis|Gibson||2000-07-19|England|185||defender
2048|Gianluca|Gaetano||2000-05-05|Italy|181|71|midfielder
2049|Vincent|Vermeij||1994-08-09|Netherlands|196|88|striker
2050|Marko|Dmitrovic||1992-01-24|Serbia|194|94|goalkeeper
2051|Keita|Endo||1997-11-22|Japan|175|66|midfielder
2052|Steve|Sidwell||1982-12-14|England|178|70|Centrocampista Centrale
2053|Mario|Gila||2000-08-29|Spain|185|74|defender
2054|Danny|Ward||1991-12-11|England|178|72|striker
2055|Javier|Puado||1998-05-25|Spain|177|69|midfielder
2056|Nils|Stendera||2000-09-30|Germany|177|68|Defensive Midfielder
2057|Francisco Javier|Guerrero Martín|Francis|1996-03-11|Spain|175|78|midfielder
2058|Darío|Ramos||1999-10-19|Spain|191|78|goalkeeper
2059|Conrad|Egan-Riley|CJ Egan-Riley|2003-01-02|England|||defender
2060|Laureano Antonio|Villa Suárez|Toni Villa|1995-01-07|Spain|172|63|midfielder
2061|Dejan|Kulusevski||2000-04-25|Sweden|186|80|midfielder
2062|Lucas|Cañizares||2002-05-10|Spain|||goalkeeper
2063|Marvin|Bakalorz||1989-09-13|Germany|180|78|Defensive Midfielder
2064|Sekou|Baradji||1984-04-24|France|185|77|Centrocampista Difensivo
2065|Ricardo Luis|Chaby Mangas|Ricardo Mangas|1998-03-19|Portugal|179|66|Wing Back
2066|Jordan|Henderson|Jordan Henderson|1990-06-17|England|182|67|midfielder
2067|Noah|Fatar||2002-02-15|France|||
2068|Joshua|Wilson-Esbrand||2002-12-26|England|||defender
2069|Alan|Godoy||2003-05-04|Spain|178||striker
2070|Francesco|Verde||1999-08-16|Italy|187||striker
2071|Miha|Zajc||1994-07-01|Slovenia|180|76|midfielder
2072|Anas|Namri||2001-11-12|France|||
2073|Jack|O'Connell||1994-03-29|England|190|85|defender
2074|José Pedro|Malheiro de Sá|José Sá|1993-01-17|Portugal|192|84|goalkeeper
2075|Lee|Peltier||1986-12-11|England|178|73|defender
2076|Thomas|Partey||1993-06-13|Ghana|185|77|Defensive Midfielder
2077|David|Silva||1986-01-08|Spain|173|67|midfielder
2078|Héctor|Bellerín||1995-03-19|Spain|178|74|defender
2079|Sergio|Arribas||1995-07-07|Spain|||Trequartista
2080|Jetro|Willems||1994-03-30|Netherlands|169|65|defender
2081|Frederik|Jakel||2001-03-07|Germany|194||
2082|Tyreece|John-Jules||2001-02-14|England|183||striker
2083|Yan|Eteki||1997-08-26|Cameroon|180|70|midfielder
2084|Jemerson|de Jesus Nascimento|Jemerson|1992-08-24|Brazil|184|77|defender
2085|Sergio|Araújo||1992-01-28|Argentina|180|79|striker
2086|Jon Ander|Olasagasti||2000-08-16|Spain|176|74|
2087|Babacar|Gueye||1994-12-31|Senegal|193|84|striker
2088|Andrea|Colpani||1999-05-11|Italy|184||midfielder
2089|Oumar|Solet||2000-02-07|France|192|81|defender
2090|Robin|Voisine||2002-04-07|France|||defender
2091|Adilson Angel|Abreu de Almeida Gomes|Angel Gomes|2000-08-31|England|161|61|
2092|Lewis|Cook|Lewis Cook|1997-02-03|England|175|71|midfielder
2093|Jack|Stephens||1994-01-27|England|185|75|defender
2094|Neymar|da Silva Santos Júnior|Neymar|1992-02-05|Brazil|175|68|midfielder
2095|Pawel|Wszolek||1992-04-30|Poland|186|77|midfielder
2096|Levan|Mchedlidze||1990-03-24|Georgia|188|83|striker
2097|Francesco|Migliore||1988-04-17|Italy|173|75|defender
2098|Kelechi|Iheanacho||1996-10-03|Nigeria|185|82|striker
2099|Marcelo|Saracchi||1998-04-23|Uruguay|185|69|defender
2100|Quentin|Cornette||1994-01-17|France|172|75|midfielder
2101|Leon|Britton||1982-09-16|England|168|64|Centrocampista Centrale
2102|Aïssa|Mandi||1991-10-22|Algeria|184|78|defender
2103|Kristoffer|Klaesson||2000-11-27|Norway|189|76|
2104|Yann|Bodiger||1995-02-09|France|188|80|midfielder
2105|Ángel|López||1997-02-07|Spain|||
2106|Bruno|Amione||2002-01-03|Argentina|187|83|defender
2107|Kevin|Trapp||1990-07-08|Germany|189|84|goalkeeper
2108|Daniel|Adshead||2001-09-02|England|167|65|midfielder
2109|Lovro|Majer||1998-01-17|Croatia|179|75|
2110|Chris|Basham||1988-07-20|England|190|80|defender
2111|Isaac|Palazón|Isi Palazón|1994-12-27|Spain|169|71|midfielder
2112|Rolando Jorge|Pires da Fonseca|Rolando|1985-08-31|Portugal|189|77|defender
2113|Malcom|Musquet||2002-04-15|France|||defender
2114|Alhassane|Bangoura||1992-03-30|Guinea|174|68|midfielder
2115|Fabian|Frei||1989-01-08|Switzerland|183|80|Defensive Midfielder
2116|Andrés|Andrade||1998-10-16|Panama|187|78|defender
2117|Alexander|Kacaniklic||1991-08-13|Sweden|181|72|midfielder
2118|Javier|Díaz|Javi Díaz|1997-05-15|Spain|184|75|goalkeeper
2119|Pierrick|Valdivia||1988-04-18|France|185|67|midfielder
2120|Nicolas|Feldhahn||1986-08-14|Germany|189|94|defender
2121|Jimmy Adrian|Kaparos||2001-12-25|Netherlands|||midfielder
2122|Gregor|Kobel||1997-12-06|Switzerland|196|88|goalkeeper
2123|Luca|Cigarini||1986-06-20|Italy|175|72|Defensive Midfielder
2124|Marco|Tumminello||1998-11-06|Italy|180|76|striker
2125|Hugo|Lloris||1986-12-26|France|188|82|goalkeeper
2126|Mehdi|Lacen||1984-03-15|Algeria|176|74|Defensive Midfielder
2127|Luis Alberto|Romero Alconchel|Luis Alberto|1992-09-28|Spain|182|70|midfielder
2128|Tommaso|Pobega||1999-07-15|Italy|188|75|midfielder
2129|Ander|Guevara||1997-07-07|Spain|180|73|midfielder
2130|Yunus|Malli||1992-02-24|Turkey|179|72|midfielder
2131|Diego|Rolan||1993-03-24|Uruguay|177|73|striker
2132|Virgiliu|Postolachi||2000-03-17|Moldova|163||
2133|Bassem|Srarfi||1997-06-25|Tunisia|176|71|midfielder
2134|Mohamed|Dräger||1996-06-25|Tunisia|180|74|Defensive Midfielder
2135|Brown|Ideye||1988-10-10|Nigeria|181|78|striker
2136|Blerim|Dzemaili||1986-04-12|Switzerland|179|73|midfielder
2137|Alexis|Saelemaekers||1999-06-27|Belgium|180|72|midfielder
2138|Pascal|Köpke||1995-09-03|Germany|176|75|
2139|Filipe Luís|Kasmirski|Filipe Luís|1985-08-09|Brazil|181|77|defender
2140|Martin|Sourzac||1992-03-25|France|186|85|
2141|Iago|Domínguez||2001-11-22|Spain|||goalkeeper
2142|Arne|Maier||1999-01-08|Germany|186|79|Defensive Midfielder
2143|Matthieu|Udol||1996-03-20|France|178|79|defender
2144|Sergio|Postigo||1988-11-04|Spain|184|78|defender
2145|Nabil|Ouennas||2003-07-12|Algeria|195||goalkeeper
2146|Maxime|Lestienne||1992-06-17|Belgium|178|68|
2147|Mujaid|Sadick Aliu|Mujaid Sadick|2000-03-14|Spain|183|81|
2148|Daniele|Baselli||1992-03-12|Italy|182|70|midfielder
2149|Jérémy|Blayac||1983-06-13|France|187|80|Punta
2150|David|Ospina||1988-08-31|Colombia|183|80|goalkeeper
2151|Garissone|Innocent||2000-04-16|France|192||goalkeeper
2152|Emre|Mor||1997-07-24|Turkey|169|64|midfielder
2153|Erwan|Belhadji||2001-06-22|France|||
2154|Ismaël|Aaneba||1999-05-29|France|182|75|defender
2155|Giorgi|Kochorashvili||1999-06-29|Georgia|178|74|midfielder
2156|Sergi|Enrich||1990-02-26|Spain|181|77|striker
2157|Arona|Sané||1995-06-21|Senegal|173||
2158|David|Raum||1998-04-22|Germany|180|75|defender
2159|Emil|Hallfredsson||1984-06-29|Iceland|185|83|midfielder
2160|Edoardo|Piana||2003-09-29|Italy|197||goalkeeper
2161|Ibrahim|Cisse||1996-05-02|France|185|70|defender
2162|Javier|Sánchez de Felipe|Javi Sánchez|1997-03-14|Spain|186|71|defender
2163|Malik|Tchokounte||1988-09-11|France|191|90|striker
2164|Felipe|Trevizan Martins|Felipe|1987-05-15|Brazil|193|90|defender
2165|Andrea|Favilli||1997-05-17|Italy|190|78|
2166|Youssef|Maziz||1998-06-24|France|175|68|midfielder
2167|Jake|Livermore||1989-11-14|England|181|91|midfielder
2168|Ciaran|Clark||1989-09-26|Republic of Ireland|185|88|defender
2169|Bobby|Thomas||2001-01-30|England|||defender
2170|Éric|Ebimbe||2000-11-21|France|183||midfielder
2171|Tim|Maciejewski||2001-03-05|Germany|184|73|midfielder
2172|Dusan|Basta||1984-08-18|Serbia|183|76|defender
2173|Isaac|Hayden||1995-03-22|England|185|79|midfielder
2174|Jessy|Deminguet||1998-01-07|France|178|74|
2175|Douglas Luiz|Soares de Paulo|Douglas Luiz|1998-05-09|Brazil|175|66|midfielder
2176|Nigel|de Jong||1984-11-30|Netherlands|174|72|Defensive Midfielder
2177|Makhtar|Gueye||1997-12-04|Senegal|195|90|striker
2178|Kevin|Mouanga||2000-07-24|France|||
2179|Mads|Bidstrup||2001-02-25|Denmark|175|68|
2180|Jiri|Skalak||1992-03-12|Czech Republic|177|76|midfielder
2181|Philipp|Förster||1995-02-04|Germany|188|82|Defensive Midfielder
2182|Francesco|Caputo||1987-08-06|Italy|180|75|striker
2183|Adrián|De la Fuente||1999-02-26|Spain|179|77|defender
2184|Ángel|Jiménez||2002-06-22|Spain|||goalkeeper
2185|Juan|Torres Ruiz|Juan Cala|1989-11-26|Spain|185|78|defender
2186|Lucas|Perrin||1998-11-19|France|187||defender
2187|Paul|Baysse||1988-05-18|France|187|85|defender
2188|Noë|Dussenne||1992-04-07|Belgium|192|86|
2189|Ibrahima|Sissoko||1997-10-27|France|193|90|Defensive Midfielder
2190|Louis|Munteanu||2002-06-16|Romania|||striker
2191|Xavier|Chavalerin||1991-03-07|France|179|69|Defensive Midfielder
2192|Adrián|Butzke||1999-03-30|Spain|193|72|striker
2193|Timm|Klose||1988-05-09|Switzerland|193|87|defender
2194|Omer|Hanin||1998-05-14|Israel|190|80|goalkeeper
2195|Fábio Henrique|Tavares|Fabinho|1993-10-23|Brazil|188|78|Defensive Midfielder
2196|Marco|Parolo||1985-01-25|Italy|184|75|midfielder
2197|Matías Nahuel|Leiva Esquivel|Nahuel Leiva|1996-11-22|Spain|176|70|midfielder
2198|Leon|Bailey||1997-08-09|Jamaica|178|77|midfielder
2199|Charlie|Goode||1995-08-03|England|196|89|defender
2200|Allan|Rodrigues de Souza|Allan|1997-03-03|Brazil|175|74|Defensive Midfielder
2201|Teemu|Pukki||1990-03-29|Finland|180|75|striker
2202|Adam|Armstrong|Adam Armstrong|1997-02-10|England|172|69|striker
2203|Olivier|Verdon||1995-10-05|Benin|190|85|
2204|Joseph|McGlynn||2002-09-27|Scotland|||
2205|Markel|Areitio||1996-09-07|Spain|180|73|goalkeeper
2206|Imoh|Ezekiel||1993-10-24|Nigeria|178|70|
2207|Elliot|Anderson||2002-11-06|Scotland|||
2208|Taylor|Harwood-Bellis||2002-01-30|England|188||
2209|N'Dri|Koffi||2002-03-09|France|||
2210|Filip|Djuricic||1992-01-30|Serbia|176|69|midfielder
2211|Amir|Adouyev||1999-05-11|Russia|181|66|midfielder
2212|Orel|Mangala||1998-03-18|Belgium|178|82|midfielder
2213|Javier|Muñoz|Javi Muñoz|1995-02-28|Spain|175|69|midfielder
2214|Aleix|Vidal||1989-08-21|Spain|177|70|Wing Back
2215|Asan|Mata||2003-08-18|Albania|||midfielder
2216|Matteo|Cancellieri||2002-02-12|Italy|||midfielder
2217|Daniele|Rugani||1994-07-29|Italy|190|84|defender
2218|Marc|Pedraza||1987-02-06|Spain|184|82|midfielder
2219|Erik|Durm||1992-05-12|Germany|182|70|defender
2220|Ruben|Aguilar||1993-04-26|France|172|71|defender
2221|Daniel|Vivian|Dani Vivian|1999-07-05|Spain|183|78|defender
2222|Vedat|Muriqi||1994-04-24|Kosovo|194|92|striker
2223|Dennis|Borkowski||2002-01-26|Germany|184|72|
2224|Junior Wakalible|Lago|Lago Junior|1990-12-31|Côte d&#39;Ivoire|180|79|midfielder
2225|Alessandro|Plizzari||2000-03-12|Italy|191|73|goalkeeper
2226|Sébastien|Corchia||1990-11-01|France|176|69|defender
2227|Alessandro|Confente||1998-06-07|Italy|194|73|goalkeeper
2228|Álvaro|Morata||1992-10-23|Spain|190|84|striker
2229|Julio|Alonso||1998-12-14|Spain|171|62|defender
2230|Eliaquim|Mangala||1991-02-13|France|188|84|defender
2231|Raffaele|Palladino||1984-04-17|Italy|182|74|striker
2232|Panagiotis|Retsos||1998-08-09|Greece|186|79|defender
2233|Martín|Calderón||1999-03-01|Spain|183|78|midfielder
2234|Heurelho|da Silva Gomes|Heurelho Gomes|1981-02-15|Brazil|191|91|goalkeeper
2235|Andrea|Cambiaso||2000-02-20|Italy|181||Wing Back
2236|Lukas|Petkov||2000-11-01|Germany|183|76|striker
2237|Mërgim|Vojvoda||1995-02-01|Kosovo|187|78|defender
2238|Sadik|Fofana||2003-05-16|Germany|192||midfielder
2239|Roberto|González|Rober|2001-01-08|Spain|169|63|midfielder
2240|Eljon|Toci||2003-01-09|Albania|||striker
2241|Cédric Ricardo|Alves Soares|Cédric Soares|1991-08-31|Portugal|172|67|defender
2242|Jérémy|Gelin||1997-04-24|France|183|77|defender
2243|Driss|Khalid||1999-02-07|France|||striker
2244|Khouma|Babacar||1993-03-17|Senegal|191|85|
2245|Riccardo|Marchizza||1998-03-26|Italy|185|80|defender
2246|Jimmy|Durmaz||1989-03-22|Sweden|180|69|midfielder
2247|Sam|Johnstone||1993-03-25|England|193|85|goalkeeper
2248|Mitchell|Langerak||1988-08-22|Australia|193|84|goalkeeper
2249|Éder|Citadin Martins|Éder|1986-11-15|Italy|177|85|striker
2250|Salim|Abubakar||2003-04-06|Ghana|||midfielder
2251|Domingos|Quina|Domingos Quina|1999-11-18|Portugal|179|72|midfielder
2252|Romain|Salin||1984-07-29|France|189|71|goalkeeper
2253|Thomas|Carrique||1999-02-26|France|||defender
2254|Luca|Belardinelli||2001-03-14|Italy|||Defensive Midfielder
2255|Daniele|Montevago||2003-03-18|Italy|184||
2256|Ronald|Araújo||1999-03-07|Uruguay|188|79|defender
2257|Enzo|Le Fée||2000-02-03|France|170||
2258|Benjamin|Leroy||1989-04-07|France|184|75|goalkeeper
2259|Obite Evan|Ndicka||1999-08-20|France|192|82|defender
2260|Panagiotis|Vlachodimos||1991-10-12|Greece|184|74|midfielder
2261|Aleksey|Miranchuk||1995-10-17|Russia|182|74|midfielder
2262|Diego|Falcinelli||1991-06-26|Italy|186|76|striker
2263|Pedro Miguel|Braga Rebocho|Pedro Rebocho|1995-01-23|Portugal|174|69|
2264|Christopher|Antwi-Adjei||1994-02-07|Ghana|173|72|
2265|Rubén|Vargas||1998-08-05|Switzerland|179|68|midfielder
2266|Marios|Oikonomou||1992-10-06|Greece|189|85|defender
2267|Cheick|Timité||1997-11-20|Côte d&#39;Ivoire|177|79|midfielder
2268|Donyell|Malen||1999-01-19|Netherlands|176|68|striker
2269|Jay|Rodriguez||1989-07-29|England|185|84|striker
2270|Marco|Carnesecchi||2000-07-01|Italy|191|83|goalkeeper
2271|Marcel|Johnen||2002-10-11|Germany|186|90|goalkeeper
2272|Moataz|Zemzemi||1999-08-07|Tunisia|183|73|
2273|Guilherme|Costa Marques|Guilherme|1991-05-21|Brazil|174|70|midfielder
2274|Andrea|Romagnoli||1998-07-29|Italy|180|78|goalkeeper
2275|Panagiotis|Tachtsidis||1991-02-15|Greece|193|86|midfielder
2276|Raúl|García|Raul García|2000-11-03|Spain|192|70|striker
2277|Francisco|Reis Ferreira|Ferro|1997-03-26|Portugal|191|72|defender
2278|Ernest|Seka||1987-06-22|Guinea|185|89|defender
2279|Ciro|Immobile||1990-02-20|Italy|185|78|striker
2280|Thomas|Kraft||1988-07-22|Germany|187|85|goalkeeper
2281|Alejandro|Granell|Álex Granell|1988-08-02|Spain|175|70|midfielder
2282|Pierre|Lees-Melou||1993-05-25|France|185|69|midfielder
2283|Luka|Dumancic||1998-10-27|Croatia|192||defender
2284|Roman|Bürki||1990-11-14|Switzerland|187|85|goalkeeper
2285|Rúben Diogo|da Silva Neves|Rúben Neves|1997-03-13|Portugal|180|80|midfielder
2286|Ibrahima|Niane||1999-03-11|Senegal|187|73|striker
2287|Jorge|Ruiz Ojeda|Koke Vegas|1995-09-27|Spain|188|88|goalkeeper
2288|Glen|Johnson||1984-08-23|England|182|78|Difensore
2289|Branimir|Hrgota||1993-01-12|Sweden|185|76|
2290|Edinaldo|Gomes Pereira|Naldo|1988-08-25|Brazil|188|80|defender
2291|Jorge|Jiménez|Jime|1999-05-20|Spain|||midfielder
2292|Simon|Sohm||2001-04-11|Switzerland|188|85|Defensive Midfielder
2293|Kevin|Wimmer||1992-11-15|Austria|187|85|defender
2294|Jacob|Laursen||1994-11-17|Denmark|179|76|defender
2295|Pier Graziano|Gori||1980-05-10|Italy|189|83|goalkeeper
2296|Marten|de Roon||1991-03-29|Netherlands|185|76|midfielder
